station_id,station_name,zone,division,location,source_table,section_id,source_station,dest_station,distance_km,max_speed,track_type,track_id (PK),line_type,rail_profile,sleeper_type,fastening_system,ballast_depth_mm,gauge_mm,gradient_ratio,curvature_degrees,start_km_post,end_km_post,traffic_load_gmt,geo_division,structure_id (PK),track_id (FK),structure_type,exact_km_post,installation_date
MAS,Chennai Central,Southern Railway,Chennai,Chennai,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
MDU,Madurai Junction,Southern Railway,Madurai,Madurai,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
TPJ,Tiruchirappalli Junction,Southern Railway,Tiruchirappalli,Tiruchirappalli,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
TVC,Thiruvananthapuram Central,Southern Railway,Thiruvananthapuram,Thiruvananthapuram,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
CBE,Coimbatore Junction,Southern Railway,Salem,Coimbatore,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
SA,Salem Junction,Southern Railway,Salem,Salem,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
ERS,Ernakulam Junction,Southern Railway,Thiruvananthapuram,Kochi,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
ERN,Ernakulam Town,Southern Railway,Thiruvananthapuram,Kochi,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
QLN,Kollam Junction,Southern Railway,Thiruvananthapuram,Kollam,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
KTYM,Kottayam,Southern Railway,Thiruvananthapuram,Kottayam,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
TCR,Thrissur,Southern Railway,Thiruvananthapuram,Thrissur,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
PGT,Palakkad Junction,Southern Railway,Palakkad,Palakkad,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
SRR,Shoranur Junction,Southern Railway,Palakkad,Shoranur,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
CLT,Kozhikode,Southern Railway,Palakkad,Kozhikode,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Kannur,Southern Railway,Palakkad,Kannur,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
MAQ,Mangaluru Central,Southern Railway,Palakkad,Mangaluru,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
MAJN,Mangaluru Junction,Southern Railway,Palakkad,Mangaluru,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
TBM,Tambaram,Southern Railway,Chennai,Chennai,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
MS,Chennai Egmore,Southern Railway,Chennai,Chennai,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
CGL,Chengalpattu Junction,Southern Railway,Chennai,Chengalpattu,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
AJJ,Arakkonam Junction,Southern Railway,Chennai,Arakkonam,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
KPD,Katpadi Junction,Southern Railway,Chennai,Vellore,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
JTJ,Jolarpettai Junction,Southern Railway,Chennai,Jolarpettai,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
ED,Erode Junction,Southern Railway,Salem,Erode,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
TUP,Tiruppur,Southern Railway,Salem,Tiruppur,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
KRR,Karur Junction,Southern Railway,Salem,Karur,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
NMKL,Namakkal,Southern Railway,Salem,Namakkal,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
DG,Dindigul Junction,Southern Railway,Madurai,Dindigul,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
