inspection_id (PK),track_id (FK),inspection_date,inspection_mode,rail_temperature_celsius,ride_quality_index,source_table,defect_id (PK),inspection_id (FK),defect_type,severity_level,exact_km_post,is_rectified,work_order_id (PK),defect_id (FK),activity_classification,priority,job_status,creation_date,target_completion_date,request_id,asset_id,asset_type,issue_description,reported_by,reported_date,status,assigned_to,scheduled_date,completion_date,remarks,cost_estimate,approval_status,department,section_id,req_duration_min,criticality,days_overdue,traffic_block_req,power_block_req,urgency_score,synergy_candidate,machine_id (PK),machine_name,deployment_id (PK),work_order_id (FK),machine_id (FK),runtime_hours,deployment_date
INSP-001,TRK-MAIN-001,2026-08-01,OMS,35.0,4.2,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-002,TRK-MAIN-002,2026-08-05,TRC,38.0,3.8,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-003,TRK-MAIN-003,2026-08-10,Visual,32.0,4.5,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-004,TRK-MAIN-004,2026-08-12,Visual,34.0,4.1,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-005,TRK-MAIN-005,2026-08-14,TRC,36.0,3.9,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-006,TRK-MAIN-008,2026-08-15,Ultrasonic,31.0,4.6,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-007,TRK-MAIN-011,2026-08-16,Visual,33.0,4.3,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-008,TRK-MAIN-015,2026-08-17,Push Trolley,37.0,3.7,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-009,TRK-MAIN-019,2026-08-18,Ultrasonic,30.0,4.8,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-010,TRK-MAIN-023,2026-08-19,Visual,35.0,4.0,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-011,TRK-MAIN-027,2026-08-20,TRC,38.0,3.6,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-012,TRK-MAIN-031,2026-08-21,Ultrasonic,32.0,4.5,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-013,TRK-MAIN-035,2026-08-22,Visual,34.0,4.2,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-014,TRK-MAIN-036,2026-08-23,Ultrasonic,31.0,3.5,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-015,TRK-MAIN-037,2026-08-24,TRC,33.0,3.8,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-016,TRK-MAIN-038,2026-08-25,Ultrasonic,31.0,4.5,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-017,TRK-MAIN-039,2026-08-26,Ultrasonic,31.0,4.4,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-018,TRK-MAIN-040,2026-08-27,Visual,30.0,3.6,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-019,TRK-MAIN-041,2026-08-28,Visual,38.0,4.4,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-020,TRK-MAIN-042,2026-08-29,Ultrasonic,33.0,4.6,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-021,TRK-MAIN-043,2026-08-30,Ultrasonic,38.0,4.1,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-022,TRK-MAIN-044,2026-08-31,TRC,39.0,3.9,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-023,TRK-MAIN-045,2026-09-01,Visual,32.0,4.5,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-024,TRK-MAIN-046,2026-09-02,TRC,34.0,3.7,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-025,TRK-MAIN-047,2026-09-03,TRC,31.0,3.6,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSP-026,TRK-MAIN-048,2026-09-04,Visual,35.0,4.8,TMS_track_inspections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-001,INSP-001,Lateral wear,Critical,12.5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-002,INSP-002,Lateral wear,Low,22.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-003,INSP-003,Ballast Deficiency,Medium,45.3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-004,INSP-004,Micro-fissure,Low,105.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-005,INSP-004,Minor Rail Wear,Medium,108.7,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-006,INSP-005,Micro-fissure,Critical,118.5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
